48730006 function calls (48415563 primitive calls) in 1837.954 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 typing.py:1595(copy_with)
       32    0.000    0.000    0.000    0.000 lexer.py:352(<listcomp>)
        2    0.000    0.000    0.000    0.000 load_grammar.py:1419(sha256_digest)
       33    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
      168    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       65    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       27    0.000    0.000    0.000    0.000 random.py:235(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1376(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 lark.py:233(deserialize)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:127(_get_lexer_callbacks)
       64    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:157(_candidate_tempdir_list)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
       33    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      123    0.000    0.000    0.000    0.000 parse_tree_builder.py:141(__init__)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        7    0.000    0.000    0.000    0.000 qasm.py:300(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        6    0.000    0.000    0.000    0.000 symbol.py:254(_sanitize)
       62    0.000    0.000    0.000    0.000 qasm.py:359(<genexpr>)
        1    0.000    0.000    0.000    0.000 assumptions.py:469(__init__)
      321    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 basic.py:2007(_exec_constructor_postprocessors)
        1    0.000    0.000    0.000    0.000 {built-in method posix.write}
        2    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 random.py:480(choices)
        4    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 mul.py:33(_mulsort)
        3    0.000    0.000    0.000    0.000 typing.py:1591(<genexpr>)
        1    0.000    0.000    0.000    0.000 getpass.py:154(getuser)
        1    0.000    0.000    0.000    0.000 expr.py:893(_eval_is_extended_negative)
       20    0.000    0.000    0.000    0.000 basic.py:189(__hash__)
        6    0.000    0.000    0.000    0.000 printer.py:250(_get_initial_settings)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7efc4c5c6700}
       25    0.000    0.000    0.000    0.000 qasm.py:358(args)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:362(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
        7    0.000    0.000    0.000    0.000 typing.py:1320(__setattr__)
        7    0.000    0.000    0.000    0.000 numbers.py:3880(__hash__)
        2    0.000    0.000    0.000    0.000 expr.py:851(_eval_is_extended_positive_negative)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        7    0.000    0.000    0.000    0.000 qasm.py:924(<listcomp>)
       10    0.000    0.000    0.000    0.000 {built-in method void}
        7    0.000    0.000    0.000    0.000 qasm.py:918(<listcomp>)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:96(_make_lexer_thread)
        1    0.000    0.000    0.000    0.000 typing.py:1279(__init__)
        1    0.000    0.000    0.000    0.000 facts.py:599(deduce_all_facts)
        3    0.000    0.000    0.000    0.000 <frozen os>:773(getenv)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
        2    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
        2    0.000    0.000    0.000    0.000 mul.py:478(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 basic.py:240(compare)
        1    0.000    0.000    0.000    0.000 random.py:493(<listcomp>)
        1    0.000    0.000    0.000    0.000 numbers.py:3596(__eq__)
        2    0.000    0.000    0.000    0.000 basic.py:162(__new__)
        5    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 common.py:60(_deserialize)
       30    0.000    0.000    0.000    0.000 lark.py:220(__getattr__)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       19    0.000    0.000    0.000    0.000 qasm.py:506(gatecall)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 lexer.py:439(from_text)
        1    0.000    0.000    0.000    0.000 qasm.py:371(qreg)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1311(__iter__)
        1    0.000    0.000    0.000    0.000 common.py:61(<dictcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       32    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 lark.py:549(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 basic.py:36(_old_compare)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
        1    0.000    0.000    0.000    0.000 cProfile.py:51(create_stats)
        7    0.000    0.000    0.000    0.000 typing.py:1266(_is_dunder)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1293(_get_parent_path)
        1    0.000    0.000    0.000    0.000 symbol.py:361(_hashable_content)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        2    0.000    0.000    0.000    0.000 numbers.py:2211(__mul__)
        1    0.000    0.000    0.000    0.000 operations.py:108(_from_args)
        1    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
       44    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 qasm.py:255(<dictcomp>)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       14    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1467(debug)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        2    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:116(_validate_frontend_args)
       37    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 expr.py:890(_eval_is_extended_positive)
        5    0.000    0.000    0.000    0.000 operations.py:63(<genexpr>)
        1    0.000    0.000    0.000    0.000 lexer.py:416(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'erase' of 'builtins.Instruction' objects}
        2    0.000    0.000    0.000    0.000 numbers.py:1039(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        6    0.000    0.000    0.000    0.000 logic.py:92(fuzzy_bool)
        1    0.000    0.000    0.000    0.000 lexer.py:252(new_borrow_pos)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1297(_recalculate)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 lark.py:314(<genexpr>)
        7    0.000    0.000    0.000    0.000 visitors.py:108(__init__)
        9    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method pytket._tket.passes.FlattenRelabelRegistersPass}
        6    0.000    0.000    0.000    0.000 numbers.py:2295(__hash__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        2    0.000    0.000    0.000    0.000 {built-in method pyqir._native.result_type}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:74(find_spec)
        5    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 basic.py:2021(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 {method 'ret' of 'builtins.Builder' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
        8    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1283(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 parse_tree_builder.py:83(make_propagate_positions)
        4    0.000    0.000    0.000    0.000 exceptions.py:19(assert_config)
        2    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       11    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 basic.py:786(args)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:82(find_spec)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        6    0.000    0.000    0.000    0.000 str.py:845(_print_Symbol)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 operations.py:91(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        8    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        5    0.000    0.000    0.000    0.000 lexer.py:308(__init__)
        1    0.000    0.000    0.000    0.000 lalr_parser_state.py:22(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 {method 'insert_at_end' of 'builtins.Builder' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1101(_sanity_check)
        1    0.000    0.000    0.000    0.000 <frozen os>:818(fsdecode)
        2    0.000    0.000    0.000    0.000 facts.py:582(_tell)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:86(_verify_start)
        1    0.000    0.000    0.000    0.000 typing.py:251(_collect_parameters)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 lalr_parser_state.py:40(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        8    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 contextlib.py:440(__init__)
        1    0.000    0.000    0.000    0.000 lalr_analysis.py:39(__init__)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 qasm.py:270(f)
        1    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 facts.py:579(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:1381(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 typing.py:284(_check_generic)
        2    0.000    0.000    0.000    0.000 expr.py:2009(as_base_exp)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.000    0.000 numbers.py:2045(as_coeff_Mul)
        1    0.000    0.000    0.000    0.000 symbol.py:373(assumptions0)
        4    0.000    0.000    0.000    0.000 parse_tree_builder.py:17(__init__)
        1    0.000    0.000    0.000    0.000 lalr_parser.py:78(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        1    0.000    0.000    0.000    0.000 lexer.py:443(lex)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:279(__init__)
        3    0.000    0.000    0.000    0.000 basic.py:112(__sympy__)
        2    0.000    0.000    0.000    0.000 inspect.py:729(getmro)
        1    0.000    0.000    0.000    0.000 _basicqis.py:12(__init__)
        1    0.000    0.000    0.000    0.000 qasm.py:901(oqasm)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:435(__init__)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 mul.py:555(<listcomp>)
        1    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 numbers.py:3117(__bool__)
        1    0.000    0.000    0.000    0.000 contextlib.py:443(__enter__)
        1    0.000    0.000    0.000    0.000 mul.py:653(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1363(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)


